asset_id,vibration_mm_s,rail_wear_mm,ultrasonic_flaw_score,track_geometry_deviation_mm
AST-426,0.43,1.57,0.0,0.0
AST-438,0.51,1.4,0.0,0.0
AST-442,0.96,1.46,0.0,0.0
AST-443,0.94,1.46,0.0,0.0
AST-449,0.27,1.81,0.0,0.0
AST-458,0.99,1.07,0.0,0.0
AST-463,0.76,2.46,0.0,0.0
AST-465,1.16,1.93,0.0,0.0
AST-468,1.14,1.41,0.0,0.0
AST-469,1.78,2.38,40.0,0.0
AST-470,0.92,1.85,0.0,0.0
AST-473,0.4,2.29,40.0,0.0
AST-476,1.03,2.0,20.0,0.0
AST-477,0.33,1.9,0.0,0.0
AST-482,0.62,1.63,0.0,0.0
AST-484,1.16,2.41,40.0,0.0
AST-491,0.98,2.14,0.0,0.0
AST-493,1.36,6.01,20.0,0.0
AST-499,0.88,5.44,20.0,0.0
AST-505,1.23,2.13,20.0,0.0
AST-518,0.43,3.08,0.0,0.0
AST-519,1.4,1.1,0.0,0.0
AST-521,1.11,3.07,0.0,0.0
AST-522,0.7,2.28,0.0,0.0
AST-523,0.66,1.2,0.0,0.0
AST-530,0.4,2.13,0.0,0.0
AST-532,0.48,1.17,0.0,0.0
AST-540,1.03,2.64,0.0,0.0
AST-547,0.81,1.26,0.0,0.0
AST-548,2.14,1.71,0.0,0.0
AST-550,0.52,1.37,20.0,0.0
AST-551,0.7,0.9,20.0,0.0
AST-552,0.6,0.75,0.0,0.0
AST-554,0.42,1.35,0.0,0.0
AST-562,0.38,2.45,0.0,0.0
AST-565,0.26,2.64,0.0,0.0
AST-566,0.33,1.52,0.0,0.0
AST-568,0.64,1.73,0.0,0.0
AST-570,0.4,2.6,0.0,0.0
AST-587,1.1,1.27,0.0,0.0
AST-588,0.72,1.95,0.0,0.0
AST-592,0.38,1.85,0.0,0.0
AST-594,0.68,1.51,0.0,0.0
AST-597,0.43,2.35,0.0,0.0
AST-601,1.38,1.19,0.0,0.0
AST-602,0.68,1.72,0.0,0.0
AST-603,1.32,1.86,0.0,0.0
AST-605,0.43,1.88,0.0,0.0
AST-612,0.84,0.67,0.0,0.0
AST-613,0.04,6.21,50.0,0.0
AST-618,2.22,1.89,0.0,0.0
AST-622,0.66,1.59,0.0,0.0
AST-625,1.27,1.3,0.0,0.0
AST-630,0.57,0.89,0.0,0.0
AST-632,5.62,2.59,40.0,0.0
AST-634,0.76,2.11,0.0,0.0
AST-636,1.23,1.87,0.0,0.0
AST-638,0.86,1.42,0.0,0.0
AST-643,0.18,2.16,0.0,0.0
AST-645,0.5,1.32,0.0,0.0
AST-649,0.64,1.0,0.0,0.0
AST-650,0.43,2.71,0.0,0.0
AST-651,0.51,2.37,0.0,0.0
AST-658,1.41,2.52,0.0,0.0
AST-660,0.74,2.36,20.0,0.0
AST-661,0.2,2.07,20.0,0.0
AST-664,1.17,2.19,40.0,0.0
AST-665,0.7,2.64,0.0,0.0
AST-667,0.5,2.3,0.0,0.0
AST-674,1.38,1.35,0.0,0.0
AST-681,0.39,1.76,0.0,0.0
AST-684,1.23,2.4,40.0,0.0
AST-685,0.66,2.27,0.0,0.0
AST-688,1.29,2.25,0.0,0.0
AST-695,0.7,1.51,0.0,0.0
AST-696,1.17,2.86,0.0,0.0
AST-698,1.35,1.99,0.0,0.0
AST-701,0.38,1.43,0.0,0.0
AST-703,0.92,2.39,0.0,0.0
AST-705,0.88,1.69,40.0,0.0
AST-710,0.51,1.62,0.0,0.0
AST-714,0.48,1.68,0.0,0.0
AST-717,0.66,1.73,0.0,0.0
AST-721,2.03,1.43,0.0,0.0
AST-724,0.63,1.7,0.0,0.0
AST-729,0.96,1.44,20.0,0.0
AST-730,4.44,1.82,20.0,0.0
AST-733,0.78,1.08,0.0,0.0
AST-736,0.46,1.19,0.0,0.0
AST-745,0.6,2.28,40.0,0.0
