block_id,section_id,block_type,planned_start,planned_end,actual_start,actual_end,status,purpose,requesting_department,task_id
BLK-00303,SEC-001,POWER_BLOCK,2026-06-25T00:00:00,2026-06-25T02:00:00,2026-06-25T00:20:00,2026-06-25T02:20:00,COMPLETED,Follow-up maintenance work for task TASK-00673,TRD,TASK-00673
BLK-00304,SEC-002,SHADOW,2025-01-18T00:00:00,2025-01-18T01:30:00,2025-01-18T00:03:00,2025-01-18T01:53:00,COMPLETED,Maintenance work for task TASK-00674 on asset AST-500,S&T,TASK-00674
BLK-00305,SEC-002,SHADOW,2025-02-18T00:00:00,2025-02-18T01:30:00,2025-02-18T00:28:00,2025-02-18T02:10:00,COMPLETED,Maintenance work for task TASK-00675 on asset AST-500,S&T,TASK-00675
BLK-00306,SEC-006,POWER_BLOCK,2026-03-06T00:00:00,2026-03-06T02:00:00,2026-03-06T00:16:00,2026-03-06T02:17:00,COMPLETED,Maintenance work for task TASK-00684 on asset AST-505,TRD,TASK-00684
BLK-00307,SEC-002,SHADOW,2024-08-02T00:00:00,2024-08-02T01:30:00,2024-08-02T00:29:00,2024-08-02T02:09:00,COMPLETED,Maintenance work for task TASK-00685 on asset AST-506,S&T,TASK-00685
BLK-00308,SEC-003,SHADOW,2026-03-21T00:00:00,2026-03-21T02:00:00,2026-03-20T23:52:00,2026-03-21T02:19:00,COMPLETED,Maintenance work for task TASK-00690 on asset AST-510,ENGINEERING,TASK-00690
BLK-00309,SEC-001,TRAFFIC_BLOCK,2024-01-20T04:00:00,2024-01-20T08:00:00,2024-01-20T03:48:00,2024-01-20T08:22:00,COMPLETED,Maintenance work for task TASK-00692 on asset AST-512,ENGINEERING,TASK-00692
BLK-00310,SEC-001,TRAFFIC_BLOCK,2025-10-20T06:00:00,2025-10-20T10:00:00,2025-10-20T06:08:00,2025-10-20T10:08:00,COMPLETED,Follow-up maintenance work for task TASK-00694,ENGINEERING,TASK-00694
BLK-00311,SEC-001,SHADOW,2026-01-05T00:00:00,2026-01-05T01:30:00,2026-01-04T23:47:00,2026-01-05T01:26:00,COMPLETED,Maintenance work for task TASK-00695 on asset AST-514,S&T,TASK-00695
BLK-00312,SEC-001,TRAFFIC_BLOCK,2026-01-15T03:00:00,2026-01-15T07:00:00,2026-01-15T02:51:00,2026-01-15T07:13:00,COMPLETED,Maintenance work for task TASK-00696 on asset AST-516,ENGINEERING,TASK-00696
BLK-00313,SEC-006,TRAFFIC_BLOCK,2024-10-08T09:00:00,2024-10-08T12:00:00,2024-10-08T09:46:00,2024-10-08T12:46:00,COMPLETED,Maintenance work for task TASK-00697 on asset AST-517,S&T,TASK-00697
BLK-00314,SEC-006,SHADOW,2023-08-14T00:00:00,2023-08-14T01:30:00,2023-08-14T00:24:00,2023-08-14T01:58:00,COMPLETED,Maintenance work for task TASK-00700 on asset AST-520,S&T,TASK-00700
BLK-00315,SEC-006,TRAFFIC_BLOCK,2024-12-31T07:00:00,2024-12-31T10:00:00,2024-12-31T07:24:00,2024-12-31T10:30:00,COMPLETED,Maintenance work for task TASK-00701 on asset AST-520,S&T,TASK-00701
BLK-00316,SEC-006,TRAFFIC_BLOCK,2026-07-24T02:00:00,2026-07-24T05:00:00,2026-07-24T02:37:00,2026-07-24T05:59:00,COMPLETED,Maintenance work for task TASK-00702 on asset AST-520,S&T,TASK-00702
BLK-00317,SEC-003,POWER_BLOCK,2025-06-08T00:00:00,2025-06-08T02:00:00,2025-06-07T23:55:00,2025-06-08T02:00:00,COMPLETED,Maintenance work for task TASK-00703 on asset AST-521,TRD,TASK-00703
BLK-00318,SEC-003,POWER_BLOCK,2025-03-06T12:00:00,2025-03-06T16:00:00,2025-03-06T12:28:00,2025-03-06T16:41:00,COMPLETED,Maintenance work for task TASK-00704 on asset AST-523,TRD,TASK-00704
BLK-00319,SEC-005,SHADOW,2026-06-26T00:00:00,2026-06-26T01:30:00,2026-06-25T23:57:00,2026-06-26T01:22:00,COMPLETED,Maintenance work for task TASK-00705 on asset AST-524,S&T,TASK-00705
BLK-00320,SEC-001,SHADOW,2024-04-11T00:00:00,2024-04-11T02:00:00,2024-04-11T00:31:00,2024-04-11T02:57:00,COMPLETED,Maintenance work for task TASK-00706 on asset AST-525,ENGINEERING,TASK-00706
BLK-00321,SEC-006,TRAFFIC_BLOCK,2024-10-25T05:00:00,2024-10-25T09:00:00,2024-10-25T05:32:00,2024-10-25T10:28:00,COMPLETED,Maintenance work for task TASK-00708 on asset AST-528,ENGINEERING,TASK-00708
BLK-00322,SEC-005,POWER_BLOCK,2025-11-05T11:00:00,2025-11-05T15:00:00,2025-11-05T11:12:00,2025-11-05T15:44:00,COMPLETED,Maintenance work for task TASK-00711 on asset AST-530,TRD,TASK-00711
BLK-00323,SEC-005,POWER_BLOCK,2026-01-11T10:00:00,2026-01-11T14:00:00,2026-01-11T10:25:00,2026-01-11T14:25:00,COMPLETED,Follow-up maintenance work for task TASK-00713,TRD,TASK-00713
BLK-00324,SEC-002,POWER_BLOCK,2025-02-05T00:00:00,2025-02-05T02:00:00,2025-02-05T00:40:00,2025-02-05T03:00:00,COMPLETED,Maintenance work for task TASK-00714 on asset AST-532,TRD,TASK-00714
BLK-00325,SEC-002,POWER_BLOCK,2025-11-28T04:00:00,2025-11-28T08:00:00,2025-11-28T04:33:00,2025-11-28T08:27:00,COMPLETED,Maintenance work for task TASK-00715 on asset AST-532,TRD,TASK-00715
BLK-00326,SEC-006,TRAFFIC_BLOCK,2023-11-16T06:00:00,2023-11-16T10:00:00,2023-11-16T05:48:00,2023-11-16T09:38:00,COMPLETED,Maintenance work for task TASK-00719 on asset AST-535,ENGINEERING,TASK-00719
BLK-00327,SEC-006,SHADOW,2024-05-16T00:00:00,2024-05-16T02:00:00,2024-05-16T00:22:00,2024-05-16T02:44:00,COMPLETED,Maintenance work for task TASK-00720 on asset AST-535,ENGINEERING,TASK-00720
BLK-00328,SEC-006,SHADOW,2026-05-19T00:00:00,2026-05-19T02:00:00,2026-05-19T00:17:00,2026-05-19T02:17:00,COMPLETED,Follow-up maintenance work for task TASK-00722,ENGINEERING,TASK-00722
BLK-00329,SEC-003,TRAFFIC_BLOCK,2025-05-03T10:00:00,2025-05-03T14:00:00,2025-05-03T10:04:00,2025-05-03T15:00:00,COMPLETED,Maintenance work for task TASK-00723 on asset AST-536,ENGINEERING,TASK-00723
BLK-00330,SEC-005,TRAFFIC_BLOCK,2024-03-03T12:00:00,2024-03-03T16:00:00,2024-03-03T12:49:00,2024-03-03T16:27:00,COMPLETED,Maintenance work for task TASK-00726 on asset AST-539,ENGINEERING,TASK-00726
BLK-00331,SEC-003,POWER_BLOCK,2025-03-06T03:00:00,2025-03-06T07:00:00,2025-03-06T03:36:00,2025-03-06T07:22:00,COMPLETED,Maintenance work for task TASK-00727 on asset AST-540,TRD,TASK-00727
BLK-00332,SEC-005,SHADOW,2025-07-26T00:00:00,2025-07-26T02:00:00,2025-07-26T00:03:00,2025-07-26T02:04:00,COMPLETED,Maintenance work for task TASK-00728 on asset AST-541,ENGINEERING,TASK-00728
BLK-00333,SEC-003,TRAFFIC_BLOCK,2024-12-30T04:00:00,2024-12-30T08:00:00,2024-12-30T04:09:00,2024-12-30T08:45:00,COMPLETED,Maintenance work for task TASK-00729 on asset AST-542,ENGINEERING,TASK-00729
BLK-00334,SEC-003,SHADOW,2025-10-05T00:00:00,2025-10-05T02:00:00,2025-10-05T00:23:00,2025-10-05T02:23:00,COMPLETED,Follow-up maintenance work for task TASK-00732,ENGINEERING,TASK-00732
BLK-00335,SEC-004,TRAFFIC_BLOCK,2025-04-01T09:00:00,2025-04-01T13:00:00,2025-04-01T08:56:00,2025-04-01T12:50:00,COMPLETED,Maintenance work for task TASK-00733 on asset AST-543,ENGINEERING,TASK-00733
BLK-00336,SEC-005,SHADOW,2026-05-03T00:00:00,2026-05-03T01:30:00,2026-05-03T00:14:00,2026-05-03T02:02:00,COMPLETED,Maintenance work for task TASK-00736 on asset AST-545,S&T,TASK-00736
BLK-00337,SEC-001,SHADOW,2023-10-08T00:00:00,2023-10-08T02:00:00,2023-10-07T23:45:00,2023-10-08T02:01:00,COMPLETED,Maintenance work for task TASK-00738 on asset AST-546,ENGINEERING,TASK-00738
BLK-00338,SEC-003,POWER_BLOCK,2025-03-15T00:00:00,2025-03-15T02:00:00,2025-03-15T00:18:00,2025-03-15T02:14:00,COMPLETED,Maintenance work for task TASK-00739 on asset AST-547,TRD,TASK-00739
BLK-00339,SEC-006,POWER_BLOCK,2023-11-05T00:00:00,2023-11-05T02:00:00,2023-11-04T23:45:00,2023-11-05T01:45:00,COMPLETED,Maintenance work for task TASK-00741 on asset AST-550,TRD,TASK-00741
BLK-00340,SEC-006,POWER_BLOCK,2024-09-02T02:00:00,2024-09-02T06:00:00,2024-09-02T02:26:00,2024-09-02T06:26:00,COMPLETED,Follow-up maintenance work for task TASK-00743,TRD,TASK-00743
BLK-00341,SEC-006,POWER_BLOCK,2026-04-23T00:00:00,2026-04-23T02:00:00,2026-04-23T00:07:00,2026-04-23T01:57:00,COMPLETED,Maintenance work for task TASK-00745 on asset AST-550,TRD,TASK-00745
BLK-00342,SEC-002,POWER_BLOCK,2025-10-24T00:00:00,2025-10-24T02:00:00,2025-10-24T00:53:00,2025-10-24T03:17:00,COMPLETED,Maintenance work for task TASK-00746 on asset AST-551,TRD,TASK-00746
BLK-00343,SEC-002,POWER_BLOCK,2026-02-26T00:00:00,2026-02-26T02:00:00,2026-02-26T00:30:00,2026-02-26T02:30:00,COMPLETED,Follow-up maintenance work for task TASK-00748,TRD,TASK-00748
BLK-00344,SEC-006,POWER_BLOCK,2024-07-01T04:00:00,2024-07-01T08:00:00,2024-07-01T03:52:00,2024-07-01T08:49:00,COMPLETED,Maintenance work for task TASK-00749 on asset AST-554,TRD,TASK-00749
BLK-00345,SEC-004,SHADOW,2025-11-05T00:00:00,2025-11-05T02:00:00,2025-11-05T00:03:00,2025-11-05T02:03:00,COMPLETED,Follow-up maintenance work for task TASK-00751,ENGINEERING,TASK-00751
BLK-00346,SEC-005,SHADOW,2023-08-19T00:00:00,2023-08-19T01:30:00,2023-08-19T00:08:00,2023-08-19T01:38:00,COMPLETED,Follow-up maintenance work for task TASK-00753,S&T,TASK-00753
BLK-00347,SEC-005,TRAFFIC_BLOCK,2023-09-11T05:00:00,2023-09-11T08:00:00,2023-09-11T05:21:00,2023-09-11T08:21:00,COMPLETED,Follow-up maintenance work for task TASK-00755,S&T,TASK-00755
BLK-00348,SEC-003,TRAFFIC_BLOCK,2024-03-09T07:00:00,2024-03-09T10:00:00,2024-03-09T07:31:00,2024-03-09T10:34:00,COMPLETED,Maintenance work for task TASK-00759 on asset AST-559,S&T,TASK-00759
BLK-00349,SEC-006,SHADOW,2024-03-26T00:00:00,2024-03-26T01:30:00,2024-03-26T00:06:00,2024-03-26T01:56:00,COMPLETED,Maintenance work for task TASK-00763 on asset AST-561,S&T,TASK-00763
BLK-00350,SEC-006,POWER_BLOCK,2024-07-27T00:00:00,2024-07-27T02:00:00,2024-07-27T00:08:00,2024-07-27T02:08:00,COMPLETED,Follow-up maintenance work for task TASK-00765,TRD,TASK-00765
BLK-00351,SEC-001,POWER_BLOCK,2025-12-19T00:00:00,2025-12-19T02:00:00,2025-12-19T00:39:00,2025-12-19T02:31:00,COMPLETED,Maintenance work for task TASK-00766 on asset AST-566,TRD,TASK-00766
BLK-00352,SEC-003,TRAFFIC_BLOCK,2026-04-18T04:00:00,2026-04-18T08:00:00,2026-04-18T04:07:00,2026-04-18T08:17:00,COMPLETED,Maintenance work for task TASK-00767 on asset AST-567,ENGINEERING,TASK-00767
BLK-00353,SEC-001,POWER_BLOCK,2025-10-14T01:00:00,2025-10-14T05:00:00,2025-10-14T01:22:00,2025-10-14T06:15:00,COMPLETED,Maintenance work for task TASK-00773 on asset AST-570,TRD,TASK-00773
BLK-00354,SEC-006,SHADOW,2023-10-03T00:00:00,2023-10-03T02:00:00,2023-10-03T00:04:00,2023-10-03T02:04:00,COMPLETED,Follow-up maintenance work for task TASK-00775,ENGINEERING,TASK-00775
BLK-00355,SEC-005,TRAFFIC_BLOCK,2025-02-24T06:00:00,2025-02-24T09:00:00,2025-02-24T06:57:00,2025-02-24T10:37:00,COMPLETED,Maintenance work for task TASK-00777 on asset AST-572,S&T,TASK-00777
BLK-00356,SEC-005,SHADOW,2024-10-29T00:00:00,2024-10-29T02:00:00,2024-10-29T00:34:00,2024-10-29T02:48:00,COMPLETED,Maintenance work for task TASK-00780 on asset AST-576,ENGINEERING,TASK-00780
BLK-00357,SEC-005,TRAFFIC_BLOCK,2024-04-04T06:00:00,2024-04-04T10:00:00,2024-04-04T06:30:00,2024-04-04T10:30:00,COMPLETED,Follow-up maintenance work for task TASK-00786,ENGINEERING,TASK-00786
BLK-00358,SEC-005,TRAFFIC_BLOCK,2024-06-30T11:00:00,2024-06-30T14:00:00,2024-06-30T11:24:00,2024-06-30T14:24:00,COMPLETED,Follow-up maintenance work for task TASK-00788,S&T,TASK-00788
BLK-00359,SEC-005,TRAFFIC_BLOCK,2023-12-05T01:00:00,2023-12-05T04:00:00,2023-12-05T01:38:00,2023-12-05T04:38:00,COMPLETED,Maintenance work for task TASK-00791 on asset AST-585,S&T,TASK-00791
BLK-00360,SEC-006,POWER_BLOCK,2025-03-13T04:00:00,2025-03-13T08:00:00,2025-03-13T04:42:00,2025-03-13T08:24:00,COMPLETED,Maintenance work for task TASK-00792 on asset AST-588,TRD,TASK-00792
BLK-00361,SEC-006,POWER_BLOCK,2025-11-08T02:00:00,2025-11-08T06:00:00,2025-11-08T02:10:00,2025-11-08T06:24:00,COMPLETED,Maintenance work for task TASK-00793 on asset AST-588,TRD,TASK-00793
BLK-00362,SEC-004,SHADOW,2024-01-14T00:00:00,2024-01-14T01:30:00,2024-01-13T23:58:00,2024-01-14T01:43:00,COMPLETED,Maintenance work for task TASK-00794 on asset AST-589,S&T,TASK-00794
BLK-00363,SEC-005,TRAFFIC_BLOCK,2024-12-09T01:00:00,2024-12-09T05:00:00,2024-12-09T01:53:00,2024-12-09T06:42:00,COMPLETED,Maintenance work for task TASK-00798 on asset AST-593,ENGINEERING,TASK-00798
BLK-00364,SEC-005,POWER_BLOCK,2024-01-25T00:00:00,2024-01-25T02:00:00,2024-01-25T00:05:00,2024-01-25T02:29:00,COMPLETED,Maintenance work for task TASK-00799 on asset AST-594,TRD,TASK-00799
BLK-00365,SEC-006,TRAFFIC_BLOCK,2025-08-20T01:00:00,2025-08-20T04:00:00,2025-08-20T01:14:00,2025-08-20T04:14:00,COMPLETED,Follow-up maintenance work for task TASK-00803,S&T,TASK-00803
BLK-00366,SEC-002,SHADOW,2023-11-22T00:00:00,2023-11-22T02:00:00,2023-11-22T00:26:00,2023-11-22T02:52:00,COMPLETED,Maintenance work for task TASK-00808 on asset AST-599,ENGINEERING,TASK-00808
BLK-00367,SEC-003,POWER_BLOCK,2025-05-07T00:00:00,2025-05-07T02:00:00,2025-05-07T00:25:00,2025-05-07T02:25:00,COMPLETED,Follow-up maintenance work for task TASK-00810,TRD,TASK-00810
BLK-00368,SEC-001,POWER_BLOCK,2024-02-27T00:00:00,2024-02-27T02:00:00,2024-02-27T01:00:00,2024-02-27T02:52:00,COMPLETED,Maintenance work for task TASK-00811 on asset AST-602,TRD,TASK-00811
BLK-00369,SEC-001,POWER_BLOCK,2025-06-19T00:00:00,2025-06-19T02:00:00,2025-06-19T00:16:00,2025-06-19T02:38:00,COMPLETED,Maintenance work for task TASK-00812 on asset AST-602,TRD,TASK-00812
BLK-00370,SEC-006,TRAFFIC_BLOCK,2023-12-27T04:00:00,2023-12-27T07:00:00,2023-12-27T03:46:00,2023-12-27T06:57:00,COMPLETED,Maintenance work for task TASK-00818 on asset AST-609,S&T,TASK-00818
BLK-00371,SEC-006,SHADOW,2026-02-25T00:00:00,2026-02-25T01:30:00,2026-02-25T00:28:00,2026-02-25T01:58:00,COMPLETED,Follow-up maintenance work for task TASK-00820,S&T,TASK-00820
BLK-00372,SEC-005,POWER_BLOCK,2024-01-21T04:00:00,2024-01-21T08:00:00,2024-01-21T04:42:00,2024-01-21T09:20:00,COMPLETED,Maintenance work for task TASK-00825 on asset AST-612,TRD,TASK-00825
BLK-00373,SEC-003,POWER_BLOCK,2025-04-04T05:00:00,2025-04-04T09:00:00,2025-04-04T05:02:00,2025-04-04T09:24:00,COMPLETED,Maintenance work for task TASK-00826 on asset AST-613,TRD,TASK-00826
BLK-00374,SEC-006,SHADOW,2024-09-03T00:00:00,2024-09-03T02:00:00,2024-09-03T00:49:00,2024-09-03T03:11:00,COMPLETED,Maintenance work for task TASK-00828 on asset AST-616,ENGINEERING,TASK-00828
BLK-00375,SEC-003,TRAFFIC_BLOCK,2025-01-16T12:00:00,2025-01-16T16:00:00,2025-01-16T11:57:00,2025-01-16T16:18:00,COMPLETED,Maintenance work for task TASK-00829 on asset AST-617,ENGINEERING,TASK-00829
BLK-00376,SEC-004,SHADOW,2023-12-04T00:00:00,2023-12-04T01:30:00,2023-12-04T00:25:00,2023-12-04T01:58:00,COMPLETED,Maintenance work for task TASK-00831 on asset AST-619,S&T,TASK-00831
BLK-00377,SEC-004,SHADOW,2025-08-27T00:00:00,2025-08-27T01:30:00,2025-08-27T00:14:00,2025-08-27T01:39:00,COMPLETED,Maintenance work for task TASK-00834 on asset AST-619,S&T,TASK-00834
BLK-00378,SEC-001,SHADOW,2025-06-06T00:00:00,2025-06-06T02:00:00,2025-06-06T00:55:00,2025-06-06T02:55:00,COMPLETED,Maintenance work for task TASK-00835 on asset AST-621,ENGINEERING,TASK-00835
BLK-00379,SEC-001,TRAFFIC_BLOCK,2026-05-26T01:00:00,2026-05-26T05:00:00,2026-05-26T01:35:00,2026-05-26T05:33:00,COMPLETED,Maintenance work for task TASK-00836 on asset AST-621,ENGINEERING,TASK-00836
BLK-00380,SEC-004,POWER_BLOCK,2025-01-18T00:00:00,2025-01-18T02:00:00,2025-01-17T23:56:00,2025-01-18T02:15:00,COMPLETED,Maintenance work for task TASK-00837 on asset AST-622,TRD,TASK-00837
BLK-00381,SEC-004,POWER_BLOCK,2025-11-14T00:00:00,2025-11-14T02:00:00,2025-11-14T00:45:00,2025-11-14T02:59:00,COMPLETED,Maintenance work for task TASK-00838 on asset AST-622,TRD,TASK-00838
BLK-00382,SEC-001,TRAFFIC_BLOCK,2025-03-30T02:00:00,2025-03-30T06:00:00,2025-03-30T02:03:00,2025-03-30T06:03:00,COMPLETED,Follow-up maintenance work for task TASK-00840,ENGINEERING,TASK-00840
BLK-00383,SEC-005,TRAFFIC_BLOCK,2026-01-10T09:00:00,2026-01-10T13:00:00,2026-01-10T09:26:00,2026-01-10T14:04:00,COMPLETED,Maintenance work for task TASK-00841 on asset AST-629,ENGINEERING,TASK-00841
BLK-00384,SEC-002,POWER_BLOCK,2024-10-20T12:00:00,2024-10-20T16:00:00,2024-10-20T12:37:00,2024-10-20T16:33:00,COMPLETED,Maintenance work for task TASK-00842 on asset AST-630,TRD,TASK-00842
BLK-00385,SEC-006,SHADOW,2023-11-22T00:00:00,2023-11-22T02:00:00,2023-11-22T00:54:00,2023-11-22T02:59:00,COMPLETED,Maintenance work for task TASK-00843 on asset AST-631,ENGINEERING,TASK-00843
BLK-00386,SEC-005,POWER_BLOCK,2024-03-31T12:00:00,2024-03-31T16:00:00,2024-03-31T12:22:00,2024-03-31T16:22:00,COMPLETED,Follow-up maintenance work for task TASK-00845,TRD,TASK-00845
BLK-00387,SEC-005,POWER_BLOCK,2026-07-16T10:00:00,2026-07-16T14:00:00,2026-07-16T10:19:00,2026-07-16T14:56:00,COMPLETED,Maintenance work for task TASK-00846 on asset AST-632,TRD,TASK-00846
BLK-00388,SEC-004,POWER_BLOCK,2025-02-28T12:00:00,2025-02-28T16:00:00,2025-02-28T12:01:00,2025-02-28T16:00:00,COMPLETED,Maintenance work for task TASK-00850 on asset AST-634,TRD,TASK-00850
BLK-00389,SEC-006,SHADOW,2024-10-11T00:00:00,2024-10-11T02:00:00,2024-10-11T00:02:00,2024-10-11T02:02:00,COMPLETED,Follow-up maintenance work for task TASK-00854,ENGINEERING,TASK-00854
BLK-00390,SEC-001,POWER_BLOCK,2023-10-19T04:00:00,2023-10-19T08:00:00,2023-10-19T04:52:00,2023-10-19T09:09:00,COMPLETED,Maintenance work for task TASK-00860 on asset AST-645,TRD,TASK-00860
BLK-00391,SEC-001,POWER_BLOCK,2024-02-19T00:00:00,2024-02-19T02:00:00,2024-02-19T00:55:00,2024-02-19T02:47:00,COMPLETED,Maintenance work for task TASK-00861 on asset AST-645,TRD,TASK-00861
BLK-00392,SEC-001,POWER_BLOCK,2024-04-16T08:00:00,2024-04-16T12:00:00,2024-04-16T08:13:00,2024-04-16T12:26:00,COMPLETED,Maintenance work for task TASK-00862 on asset AST-645,TRD,TASK-00862
BLK-00393,SEC-001,POWER_BLOCK,2025-02-10T06:00:00,2025-02-10T10:00:00,2025-02-10T06:26:00,2025-02-10T10:43:00,COMPLETED,Maintenance work for task TASK-00863 on asset AST-645,TRD,TASK-00863
BLK-00394,SEC-001,TRAFFIC_BLOCK,2024-04-06T01:00:00,2024-04-06T04:00:00,2024-04-06T01:51:00,2024-04-06T05:04:00,COMPLETED,Maintenance work for task TASK-00864 on asset AST-647,S&T,TASK-00864
BLK-00395,SEC-001,SHADOW,2026-06-01T00:00:00,2026-06-01T01:30:00,2026-06-01T00:38:00,2026-06-01T02:30:00,COMPLETED,Maintenance work for task TASK-00865 on asset AST-647,S&T,TASK-00865
BLK-00396,SEC-001,SHADOW,2026-07-01T00:00:00,2026-07-01T01:30:00,2026-07-01T00:25:00,2026-07-01T02:14:00,COMPLETED,Maintenance work for task TASK-00866 on asset AST-647,S&T,TASK-00866
BLK-00397,SEC-003,SHADOW,2024-12-10T00:00:00,2024-12-10T02:00:00,2024-12-10T00:11:00,2024-12-10T02:25:00,COMPLETED,Maintenance work for task TASK-00867 on asset AST-648,ENGINEERING,TASK-00867
BLK-00398,SEC-004,POWER_BLOCK,2025-10-24T00:00:00,2025-10-24T02:00:00,2025-10-24T00:13:00,2025-10-24T02:13:00,COMPLETED,Follow-up maintenance work for task TASK-00869,TRD,TASK-00869
BLK-00399,SEC-002,SHADOW,2025-08-24T00:00:00,2025-08-24T02:00:00,2025-08-24T00:40:00,2025-08-24T02:47:00,COMPLETED,Maintenance work for task TASK-00870 on asset AST-655,ENGINEERING,TASK-00870
BLK-00400,SEC-002,TRAFFIC_BLOCK,2025-09-03T11:00:00,2025-09-03T15:00:00,2025-09-03T11:13:00,2025-09-03T15:13:00,COMPLETED,Follow-up maintenance work for task TASK-00873,ENGINEERING,TASK-00873
BLK-00401,SEC-001,POWER_BLOCK,2026-03-11T00:00:00,2026-03-11T02:00:00,2026-03-10T23:50:00,2026-03-11T02:13:00,COMPLETED,Maintenance work for task TASK-00874 on asset AST-660,TRD,TASK-00874
BLK-00402,SEC-003,POWER_BLOCK,2026-03-31T00:00:00,2026-03-31T02:00:00,2026-03-31T00:13:00,2026-03-31T02:13:00,COMPLETED,Follow-up maintenance work for task TASK-00876,TRD,TASK-00876
BLK-00403,SEC-003,SHADOW,2025-12-27T00:00:00,2025-12-27T02:00:00,2025-12-26T23:54:00,2025-12-27T02:01:00,COMPLETED,Maintenance work for task TASK-00877 on asset AST-662,ENGINEERING,TASK-00877
BLK-00404,SEC-002,POWER_BLOCK,2026-04-26T12:00:00,2026-04-26T16:00:00,2026-04-26T11:51:00,2026-04-26T16:10:00,COMPLETED,Maintenance work for task TASK-00883 on asset AST-664,TRD,TASK-00883
BLK-00405,SEC-006,POWER_BLOCK,2024-06-15T00:00:00,2024-06-15T02:00:00,2024-06-14T23:57:00,2024-06-15T01:56:00,COMPLETED,Maintenance work for task TASK-00885 on asset AST-667,TRD,TASK-00885
BLK-00406,SEC-006,POWER_BLOCK,2024-08-14T00:00:00,2024-08-14T02:00:00,2024-08-14T00:04:00,2024-08-14T02:02:00,COMPLETED,Maintenance work for task TASK-00886 on asset AST-667,TRD,TASK-00886
BLK-00407,SEC-002,TRAFFIC_BLOCK,2026-05-22T04:00:00,2026-05-22T07:00:00,2026-05-22T04:41:00,2026-05-22T08:17:00,COMPLETED,Maintenance work for task TASK-00890 on asset AST-669,S&T,TASK-00890
BLK-00408,SEC-006,TRAFFIC_BLOCK,2025-03-09T01:00:00,2025-03-09T05:00:00,2025-03-09T00:57:00,2025-03-09T05:35:00,COMPLETED,Maintenance work for task TASK-00900 on asset AST-679,ENGINEERING,TASK-00900
BLK-00409,SEC-002,TRAFFIC_BLOCK,2024-08-13T08:00:00,2024-08-13T12:00:00,2024-08-13T08:21:00,2024-08-13T12:21:00,COMPLETED,Follow-up maintenance work for task TASK-00902,ENGINEERING,TASK-00902
BLK-00410,SEC-001,POWER_BLOCK,2026-05-04T12:00:00,2026-05-04T16:00:00,2026-05-04T12:12:00,2026-05-04T16:12:00,COMPLETED,Follow-up maintenance work for task TASK-00905,TRD,TASK-00905
BLK-00411,SEC-003,POWER_BLOCK,2024-03-31T00:00:00,2024-03-31T02:00:00,2024-03-31T00:21:00,2024-03-31T02:50:00,COMPLETED,Maintenance work for task TASK-00906 on asset AST-688,TRD,TASK-00906
BLK-00412,SEC-004,TRAFFIC_BLOCK,2023-08-13T05:00:00,2023-08-13T08:00:00,2023-08-13T05:08:00,2023-08-13T08:08:00,COMPLETED,Maintenance work for task TASK-00907 on asset AST-692,S&T,TASK-00907
BLK-00413,SEC-006,SHADOW,2024-07-07T00:00:00,2024-07-07T02:00:00,2024-07-07T00:42:00,2024-07-07T03:02:00,COMPLETED,Maintenance work for task TASK-00913 on asset AST-694,ENGINEERING,TASK-00913
BLK-00414,SEC-006,POWER_BLOCK,2024-10-08T00:00:00,2024-10-08T02:00:00,2024-10-08T00:03:00,2024-10-08T02:03:00,COMPLETED,Follow-up maintenance work for task TASK-00915,TRD,TASK-00915
BLK-00415,SEC-006,POWER_BLOCK,2024-11-27T00:00:00,2024-11-27T02:00:00,2024-11-27T00:31:00,2024-11-27T02:45:00,COMPLETED,Maintenance work for task TASK-00916 on asset AST-695,TRD,TASK-00916
BLK-00416,SEC-006,POWER_BLOCK,2025-03-25T01:00:00,2025-03-25T05:00:00,2025-03-25T01:24:00,2025-03-25T05:28:00,COMPLETED,Maintenance work for task TASK-00917 on asset AST-695,TRD,TASK-00917
BLK-00417,SEC-003,TRAFFIC_BLOCK,2024-02-25T08:00:00,2024-02-25T12:00:00,2024-02-25T08:59:00,2024-02-25T13:17:00,COMPLETED,Maintenance work for task TASK-00919 on asset AST-697,ENGINEERING,TASK-00919
BLK-00418,SEC-003,SHADOW,2026-01-26T00:00:00,2026-01-26T02:00:00,2026-01-26T00:12:00,2026-01-26T02:20:00,COMPLETED,Maintenance work for task TASK-00922 on asset AST-700,ENGINEERING,TASK-00922
BLK-00419,SEC-002,SHADOW,2024-12-09T00:00:00,2024-12-09T02:00:00,2024-12-09T00:19:00,2024-12-09T02:19:00,COMPLETED,Follow-up maintenance work for task TASK-00924,ENGINEERING,TASK-00924
BLK-00420,SEC-003,POWER_BLOCK,2026-01-27T00:00:00,2026-01-27T02:00:00,2026-01-27T00:33:00,2026-01-27T02:35:00,COMPLETED,Maintenance work for task TASK-00925 on asset AST-703,TRD,TASK-00925
BLK-00421,SEC-005,SHADOW,2025-06-03T00:00:00,2025-06-03T01:30:00,2025-06-03T00:35:00,2025-06-03T02:01:00,COMPLETED,Maintenance work for task TASK-00929 on asset AST-704,S&T,TASK-00929
