defect_id,asset_id,detected_date,inspection_id,defect_type,severity_level,safety_effect,operational_effect,status,resolved_date
DEF-00635,AST-555,2025-10-24T00:00:00,INS-12671,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-11-05T02:03:00
DEF-00647,AST-567,2026-04-18T00:00:00,INS-12986,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-04-18T08:17:00
DEF-00653,AST-571,2023-09-19T00:00:00,INS-13062,REPETITIVE: Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-10-03T02:04:00
DEF-00658,AST-576,2024-10-22T00:00:00,INS-13200,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-10-29T02:48:00
DEF-00662,AST-580,2024-03-26T00:00:00,INS-13295,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-04-04T10:30:00
DEF-00665,AST-582,2024-09-06T00:00:00,INS-13345,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-09-09T00:00:00
DEF-00673,AST-593,2024-12-09T00:00:00,INS-13571,REPETITIVE: Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-12-09T06:42:00
DEF-00680,AST-599,2023-11-15T00:00:00,INS-13701,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-11-22T02:52:00
DEF-00696,AST-616,2024-08-28T00:00:00,INS-14067,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-09-03T03:11:00
DEF-00697,AST-617,2025-01-16T00:00:00,INS-14080,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-01-16T16:18:00
DEF-00698,AST-617,2026-01-11T00:00:00,INS-14084,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-01-11T08:00:00
DEF-00703,AST-621,2025-05-31T00:00:00,INS-14161,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-06-06T02:55:00
DEF-00704,AST-621,2026-05-26T00:00:00,INS-14165,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-05-26T05:33:00
DEF-00707,AST-623,2025-03-20T00:00:00,INS-14190,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-03-30T06:03:00
DEF-00708,AST-629,2026-01-10T00:00:00,INS-14295,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-01-10T14:04:00
DEF-00710,AST-631,2023-11-17T00:00:00,INS-14317,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-11-22T02:59:00
DEF-00719,AST-640,2024-09-29T00:00:00,INS-14527,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-10-11T02:02:00
DEF-00731,AST-648,2024-12-03T00:00:00,INS-14736,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-12-10T02:25:00
DEF-00733,AST-655,2025-08-21T00:00:00,INS-14841,REPETITIVE: Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-08-24T02:47:00
DEF-00735,AST-659,2025-08-26T00:00:00,INS-14919,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-09-03T15:13:00
DEF-00738,AST-662,2025-12-24T00:00:00,INS-14968,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-12-27T02:01:00
DEF-00739,AST-662,2026-06-22T00:00:00,INS-14970,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-07-18T01:10:00
DEF-00743,AST-666,2026-03-08T00:00:00,INS-15054,REPETITIVE: Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-03-29T02:06:00
DEF-00750,AST-670,2024-03-16T00:00:00,INS-15150,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-04-10T01:12:00
DEF-00757,AST-679,2025-03-09T00:00:00,INS-15364,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-03-09T05:35:00
DEF-00758,AST-680,2024-08-09T00:00:00,INS-15374,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-08-13T12:21:00
DEF-00767,AST-694,2024-07-03T00:00:00,INS-15667,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-07-07T03:02:00
DEF-00771,AST-697,2023-11-27T00:00:00,INS-15714,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2023-12-20T01:17:00
DEF-00772,AST-697,2024-02-25T00:00:00,INS-15715,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-02-25T13:17:00
DEF-00775,AST-700,2026-01-19T00:00:00,INS-15791,REPETITIVE: Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-01-26T02:20:00
DEF-00776,AST-702,2024-11-27T00:00:00,INS-15817,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-12-09T02:19:00
DEF-00785,AST-707,2024-02-21T00:00:00,INS-15936,REPETITIVE: Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-02-21T09:15:00
DEF-00786,AST-707,2024-11-17T00:00:00,INS-15939,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-11-20T03:05:00
DEF-00787,AST-712,2025-06-16T00:00:00,INS-16007,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-06-16T08:58:00
DEF-00788,AST-712,2025-12-13T00:00:00,INS-16009,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-12-15T02:19:00
DEF-00797,AST-716,2024-05-26T00:00:00,INS-16106,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-05-26T12:26:00
DEF-00800,AST-718,2025-10-24T00:00:00,INS-16143,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-10-27T01:49:00
DEF-00801,AST-718,2026-04-22T00:00:00,INS-16145,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-05-08T01:08:00
DEF-00802,AST-719,2026-07-18T00:00:00,INS-16159,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-07-18T11:46:00
DEF-00803,AST-720,2024-02-18T00:00:00,INS-16162,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-02-21T05:18:00
DEF-00804,AST-720,2025-11-09T00:00:00,INS-16169,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-11-20T02:13:00
DEF-00805,AST-720,2026-02-07T00:00:00,INS-16170,REPETITIVE: Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-02-07T17:31:00
DEF-00808,AST-728,2024-03-12T00:00:00,INS-16297,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-03-15T02:36:00
DEF-00809,AST-728,2025-06-05T00:00:00,INS-16302,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-06-13T09:26:00
DEF-00810,AST-728,2026-03-02T00:00:00,INS-16305,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-03-25T01:23:00
DEF-00815,AST-732,2025-06-03T00:00:00,INS-16362,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-06-18T01:02:00
DEF-00816,AST-734,2023-08-08T00:00:00,INS-16385,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-08-16T02:04:00
DEF-00817,AST-735,2026-03-06T00:00:00,INS-16408,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-03-06T12:00:00
DEF-00835,AST-747,2025-09-24T00:00:00,INS-16685,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-10-01T07:22:00
DEF-00836,AST-003,2025-05-15T08:00:00,,Sudden Rail Fracture,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2025-05-15T13:30:00
DEF-00837,AST-027,2025-05-11T06:00:00,,Turnout Obstruction,CRITICAL,Suspension of traffic,Block Required,CLOSED,2025-05-11T10:23:00
DEF-00841,AST-059,2024-09-20T05:00:00,,Sleeper Dislodgement,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2024-09-20T12:31:00
DEF-00845,AST-094,2023-12-31T21:00:00,,Sleeper Dislodgement,CRITICAL,Suspension of traffic,Block Required,CLOSED,2024-01-01T02:49:00
DEF-00846,AST-141,2026-02-18T20:00:00,,Sudden Rail Fracture,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2026-02-19T00:30:00
DEF-00848,AST-155,2025-07-12T20:00:00,,Sleeper Dislodgement,CRITICAL,Suspension of traffic,Block Required,CLOSED,2025-07-13T00:29:00
DEF-00849,AST-167,2026-03-25T22:00:00,,Turnout Obstruction,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2026-03-26T02:34:00
DEF-00852,AST-246,2025-12-16T11:00:00,,Sleeper Dislodgement,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2025-12-16T17:13:00
DEF-00855,AST-261,2023-09-21T01:00:00,,Sleeper Dislodgement,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2023-09-21T08:23:00
DEF-00862,AST-368,2025-12-14T03:00:00,,Sleeper Dislodgement,CRITICAL,Suspension of traffic,Block Required,CLOSED,2025-12-14T08:48:00
DEF-00863,AST-371,2024-10-01T09:00:00,,Turnout Obstruction,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2024-10-01T13:38:00
DEF-00864,AST-372,2025-12-13T04:00:00,,Sudden Rail Fracture,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2025-12-13T11:06:00
DEF-00866,AST-376,2023-12-09T08:00:00,,Sudden Rail Fracture,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2023-12-09T15:42:00
DEF-00867,AST-391,2024-06-10T04:00:00,,Sudden Rail Fracture,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2024-06-10T11:26:00
DEF-00869,AST-420,2025-06-11T12:00:00,,Turnout Obstruction,CRITICAL,Suspension of traffic,Block Required,CLOSED,2025-06-11T15:59:00
DEF-00870,AST-448,2024-03-15T16:00:00,,Turnout Obstruction,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2024-03-15T21:32:00
DEF-00878,AST-571,2024-07-02T16:00:00,,Sudden Rail Fracture,CRITICAL,Suspension of traffic,Block Required,CLOSED,2024-07-02T22:26:00
DEF-00879,AST-576,2026-01-03T05:00:00,,Turnout Obstruction,CRITICAL,Suspension of traffic,Block Required,CLOSED,2026-01-03T12:21:00
DEF-00882,AST-653,2025-10-06T21:00:00,,Turnout Obstruction,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2025-10-07T02:15:00
DEF-00884,AST-679,2026-06-29T16:00:00,,Sudden Rail Fracture,CRITICAL,Suspension of traffic,Block Required,CLOSED,2026-06-29T20:24:00
DEF-00885,AST-709,2024-01-13T21:00:00,,Sleeper Dislodgement,MAJOR,Speed restriction 30 km/h,Block Required,CLOSED,2024-01-14T02:39:00
DEF-00004,AST-005,2025-10-30T00:00:00,INS-00103,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-11-14T00:38:00
DEF-00008,AST-009,2025-01-01T00:00:00,INS-00173,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-01-18T01:52:00
DEF-00009,AST-009,2026-07-25T00:00:00,INS-00192,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-07-25T14:07:00
DEF-00014,AST-014,2026-01-23T00:00:00,INS-00296,REPETITIVE: Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-01-23T04:34:00
DEF-00015,AST-014,2026-02-22T00:00:00,INS-00297,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-03-16T00:33:00
DEF-00016,AST-014,2026-03-24T00:00:00,INS-00298,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-03-24T12:58:00
DEF-00017,AST-015,2024-04-24T00:00:00,INS-00311,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-04-24T15:24:00
DEF-00019,AST-020,2024-08-29T00:00:00,INS-00430,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-08-29T05:56:00
DEF-00020,AST-021,2024-02-09T00:00:00,INS-00460,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-02-26T00:35:00
DEF-00022,AST-024,2025-05-23T00:00:00,INS-00538,REPETITIVE: Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-06-10T00:44:00
DEF-00023,AST-026,2024-01-31T00:00:00,INS-00577,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-02-24T00:00:00
DEF-00024,AST-026,2024-12-26T00:00:00,INS-00588,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-12-31T02:37:00
DEF-00025,AST-026,2025-01-25T00:00:00,INS-00589,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-01-27T01:42:00
DEF-00026,AST-026,2026-02-19T00:00:00,INS-00602,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-03-16T00:29:00
DEF-00027,AST-026,2026-07-19T00:00:00,INS-00607,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-07-24T00:00:00
DEF-00028,AST-028,2024-03-04T00:00:00,INS-00627,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-03-04T07:08:00
DEF-00029,AST-030,2023-09-12T00:00:00,INS-00676,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2023-09-24T00:38:00
DEF-00030,AST-030,2026-02-28T00:00:00,INS-00706,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-03-14T00:00:00
DEF-00031,AST-030,2026-03-30T00:00:00,INS-00707,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-04-01T02:09:00
DEF-00032,AST-031,2024-04-09T00:00:00,INS-00720,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-04-27T01:13:00
DEF-00033,AST-031,2024-10-06T00:00:00,INS-00726,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-10-13T01:33:00
DEF-00040,AST-040,2024-12-21T00:00:00,INS-00904,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-12-21T07:46:00
DEF-00041,AST-040,2025-02-19T00:00:00,INS-00906,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-02-21T02:27:00
DEF-00042,AST-040,2026-04-15T00:00:00,INS-00920,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-05-05T00:30:00
DEF-00043,AST-042,2024-05-25T00:00:00,INS-00952,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-05-28T02:24:00
DEF-00044,AST-042,2025-05-20T00:00:00,INS-00964,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-05-20T04:28:00
DEF-00045,AST-043,2024-06-25T00:00:00,INS-00989,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-07-20T01:11:00
DEF-00050,AST-049,2024-11-28T00:00:00,INS-01097,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-12-19T01:05:00
DEF-00052,AST-051,2025-11-16T00:00:00,INS-01164,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-11-29T00:59:00
DEF-00055,AST-055,2025-08-05T00:00:00,INS-01247,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-08-11T01:39:00
DEF-00056,AST-056,2026-05-19T00:00:00,INS-01294,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-06-08T01:14:00
DEF-00059,AST-060,2023-12-25T00:00:00,INS-01344,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-01-14T01:52:00
DEF-00060,AST-060,2025-04-18T00:00:00,INS-01360,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-04-30T01:20:00
DEF-00061,AST-060,2025-08-16T00:00:00,INS-01364,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-09-16T00:50:00
DEF-00062,AST-061,2024-12-28T00:00:00,INS-01393,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-01-04T01:44:00
DEF-00063,AST-061,2025-06-26T00:00:00,INS-01399,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-06-26T08:47:00
DEF-00064,AST-061,2025-10-24T00:00:00,INS-01403,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-11-14T01:41:00
DEF-00065,AST-061,2026-05-22T00:00:00,INS-01410,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-05-29T02:26:00
DEF-00066,AST-062,2026-05-31T00:00:00,INS-01447,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-05-31T01:00:00
DEF-00071,AST-071,2024-09-24T00:00:00,INS-01585,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-10-06T01:04:00
DEF-00073,AST-074,2025-03-22T00:00:00,INS-01657,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-03-24T02:24:00
DEF-00074,AST-074,2025-10-18T00:00:00,INS-01664,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-11-05T00:30:00
DEF-00075,AST-076,2025-10-06T00:00:00,INS-01718,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-10-30T01:32:00
DEF-00079,AST-078,2025-05-04T00:00:00,INS-01761,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-05-21T01:01:00
DEF-00088,AST-093,2023-10-08T00:00:00,INS-01974,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-10-18T00:00:00
DEF-00089,AST-093,2024-03-06T00:00:00,INS-01979,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-03-29T01:00:00
DEF-00090,AST-093,2025-09-27T00:00:00,INS-01998,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-10-10T00:35:00
DEF-00091,AST-093,2025-11-26T00:00:00,INS-02000,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-11-29T01:49:00
DEF-00092,AST-093,2025-12-26T00:00:00,INS-02001,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-01-06T01:13:00
DEF-00093,AST-095,2023-10-30T00:00:00,INS-02023,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-11-24T00:57:00
DEF-00094,AST-096,2025-09-18T00:00:00,INS-02082,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-10-19T01:01:00
DEF-00095,AST-098,2024-07-03T00:00:00,INS-02116,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-07-07T02:46:00
DEF-00096,AST-098,2025-02-28T00:00:00,INS-02124,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-03-16T01:18:00
DEF-00097,AST-099,2025-06-29T00:00:00,INS-02165,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-07-23T00:45:00
DEF-00098,AST-100,2024-02-03T00:00:00,INS-02185,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-02-10T01:30:00
DEF-00099,AST-100,2025-07-27T00:00:00,INS-02203,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-08-21T00:00:00
DEF-00102,AST-104,2024-01-07T00:00:00,INS-02257,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-02-06T00:57:00
DEF-00103,AST-104,2025-07-30T00:00:00,INS-02276,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-08-11T01:03:00
DEF-00104,AST-104,2026-07-25T00:00:00,INS-02288,Poor Signal Aspect Visibility,MINOR,No restriction,,OPEN,
DEF-00105,AST-105,2024-11-17T00:00:00,INS-02304,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-11-17T05:22:00
DEF-00106,AST-105,2025-02-15T00:00:00,INS-02307,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-03-07T00:00:00
DEF-00107,AST-105,2025-09-13T00:00:00,INS-02314,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-09-20T01:48:00
DEF-00108,AST-105,2025-11-12T00:00:00,INS-02316,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-12-10T01:06:00
DEF-00109,AST-107,2023-09-20T00:00:00,INS-02362,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2023-10-18T00:49:00
DEF-00112,AST-114,2023-11-27T00:00:00,INS-02533,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2023-11-29T02:14:00
DEF-00113,AST-114,2024-02-25T00:00:00,INS-02536,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-03-18T01:18:00
DEF-00114,AST-114,2025-09-17T00:00:00,INS-02555,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-09-17T08:55:00
DEF-00115,AST-114,2026-06-14T00:00:00,INS-02564,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-06-20T01:32:00
DEF-00116,AST-114,2026-07-14T00:00:00,INS-02565,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2026-07-20T01:23:00
DEF-00117,AST-115,2024-07-06T00:00:00,INS-02577,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-07-31T01:05:00
DEF-00118,AST-115,2025-11-28T00:00:00,INS-02594,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-12-22T01:14:00
DEF-00119,AST-118,2025-10-17T00:00:00,INS-02660,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-10-22T09:04:00
DEF-00120,AST-118,2026-04-15T00:00:00,INS-02666,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-05-08T00:53:00
DEF-00122,AST-122,2024-06-02T00:00:00,INS-02747,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2024-06-04T01:48:00
DEF-00123,AST-122,2025-04-28T00:00:00,INS-02758,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-05-04T02:18:00
DEF-00124,AST-122,2025-07-27T00:00:00,INS-02761,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-08-07T00:55:00
DEF-00128,AST-129,2024-10-23T00:00:00,INS-02874,Poor Signal Aspect Visibility,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-10-29T08:26:00
DEF-00129,AST-129,2024-11-22T00:00:00,INS-02875,REPETITIVE: Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-11-22T07:24:00
DEF-00130,AST-130,2023-08-06T00:00:00,INS-02896,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2023-08-23T01:46:00
DEF-00131,AST-130,2025-09-24T00:00:00,INS-02922,Voltage Fluctuation,MAJOR,Unstable aspect indication,Block Required,CLOSED,2025-09-28T01:33:00
DEF-00132,AST-131,2023-11-03T00:00:00,INS-02936,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2023-11-24T01:04:00
DEF-00135,AST-138,2025-02-04T00:00:00,INS-03104,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-02-17T01:04:00
DEF-00136,AST-139,2024-07-10T00:00:00,INS-03134,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-07-20T13:11:00
DEF-00137,AST-139,2024-08-09T00:00:00,INS-03135,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2024-08-31T00:32:00
DEF-00138,AST-139,2026-04-01T00:00:00,INS-03155,REPETITIVE: Voltage Fluctuation,MINOR,No restriction,,CLOSED,2026-04-14T01:41:00
DEF-00141,AST-145,2025-08-30T00:00:00,INS-03255,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-09-21T00:36:00
DEF-00142,AST-147,2025-09-14T00:00:00,INS-03305,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2025-09-19T09:24:00
DEF-00145,AST-149,2024-04-30T00:00:00,INS-03337,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-04-30T05:00:00
DEF-00146,AST-149,2025-03-26T00:00:00,INS-03348,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-04-27T01:15:00
DEF-00147,AST-149,2025-04-25T00:00:00,INS-03349,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-05-05T01:05:00
DEF-00151,AST-157,2024-07-17T00:00:00,INS-03474,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2024-08-09T01:10:00
DEF-00152,AST-157,2026-07-07T00:00:00,INS-03498,REPETITIVE: Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2026-07-07T04:40:00
DEF-00154,AST-159,2023-10-18T00:00:00,INS-03519,Poor Signal Aspect Visibility,MAJOR,Unstable aspect indication,Block Required,CLOSED,2023-10-24T02:10:00
DEF-00162,AST-170,2025-05-19T00:00:00,INS-03787,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-06-06T01:07:00
DEF-00163,AST-170,2026-01-14T00:00:00,INS-03795,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-01-28T01:31:00
DEF-00165,AST-172,2025-01-07T00:00:00,INS-03837,Voltage Fluctuation,MINOR,No restriction,,CLOSED,2025-02-01T00:56:00
DEF-00166,AST-172,2026-01-02T00:00:00,INS-03849,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-02-04T01:15:00
DEF-00167,AST-173,2026-03-11T00:00:00,INS-03888,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2026-04-02T01:01:00
DEF-00168,AST-177,2024-10-01T00:00:00,INS-03973,Voltage Fluctuation,CRITICAL,Signal aspect failures (Red default),Block Required,CLOSED,2024-10-01T09:45:00
DEF-00169,AST-177,2025-01-29T00:00:00,INS-03977,Poor Signal Aspect Visibility,MINOR,No restriction,,CLOSED,2025-02-14T01:36:00
